Title,Authors,Publisher,Date_of_published,Short_Description,ISBN_13,Total_pages,Categories,Language,Published_listprice,Max_retailprice,Adore_current_price,Adore_original_price,Adore_rating
A Silent Voice,Yoshitoki Oima,Kodansha Comics,2016-01-19,Yoshitoki Oima. A Silent Voice volume 5 KODANSHA COMICS Digital Edition A Silent Voice volume 5 copyright © 2014 Yoshitoki Oima English translation copyright © 2016 Yoshitoki Oima All rights reserved . First published in Japan in 2014 by ...,9781682331958,196,Comics & Graphic Novels,English,1167.02,583.51,583.51,583.51,3.1755368814192346
A Slow Fire Burning,Paula Hawkins,Random House,2021-08-31,"The new SCORCHING bestseller from bestselling author of THE GIRL ON THE TRAIN and INTO THE WATER &#39;Here are characters who are real and likeable, even when they are complicated and flawed.",9781473542228,280,Fiction,English,618.61,309.3,249.0,499.0,5.0
A Soul of Ash and Blood,Jennifer L. Armentrout,Blue Box Press,2023-07-18,"But this time, Hawke gets to tell the tale.",9781957568461,412,Fiction,English,954.67,954.67,954.67,954.67,2.3636363636363638
A Therapeutic Journey,Alain de Botton,Random House,2023-10-05,AS HEARD ON THE DIARY OF A CEO PODCAST WITH STEVEN BARTLETT From the Sunday Times bestselling author of The School of Life This is a book about how to optimise your mental health.,9780241999424,308,Psychology,English,848.42,424.21,424.21,424.21,2.6239316239316244
A Thousand Boy Kisses,Tillie Cole,Random House,2022-07-14,"DISCOVER THE UNFORGETTABLE TIKTOK SENSATION THAT HAS CAPTURED MILLIONS OF HEARTS &#39;This book is breathtakingly, heartbreakingly beautiful.",9781405955324,340,Fiction,English,771.72,385.86,205.0,499.0,2.0
A Thousand Broken Pieces,Tillie Cole,Random House,2024-07-18,"Tillie Cole. disappeared from view , leaving small chunks of the plate that couldn&#39;t be restored . I put the broken pieces in the correct place , but the plate was broken . It was that simple . &quot; Pick the plate up as a whole , &quot; Aika ...",9781405962971,370,Fiction,English,771.72,385.86,385.86,385.86,2.0
A Year Full of Pots,Sarah Raven,Bloomsbury Publishing,2024-03-14,"A Year Full of Pots overbrims with year-round inspiration, planting ideas and expert advice from Sarah Raven, the Sunday Times bestselling author of A Year Full of Flowers and A Year Full of Veg.",9781526667489,418,Gardening,English,945.0,472.5,472.5,472.5,3.2295081967213113
Aameen/आमीन,Aalok Srivastava/आलोक श्रीवास्तव,Penguin Random House India Private Limited,2022-08-20,बाज़ारवादी युग में दरकते इन्सानी रिश्तों पर लिखी आलोक की ग़ज़लें उनके निजी अनुभवों का आईना ...,9789357080101,94,Poetry,Hindi,224.2,156.94,156.94,156.94,2.25
Abraham Lincoln,Michael Burlingame,JHU Press,2009-01-05,"Named One of the 5 Best Books of 2009 by The AtlanticNamed One of the 10 Top Lincoln Books by Chicago Tribune Winner, 2008 PROSE Award for Best Book in U.S. History and Biography/Autobiography, Association of American PublishersWinner, 2010 ...",9780801894671,2028,History,English,7426.85,7426.85,145.0,199.0,2.0
The Ethan Frost Series 3-Book Bundle,Tracy Wolff,Loveswept,2015-12-08,"Because my nightmares are darker, and my wounds deeper, than I could ever reveal. And as much as Ethan wants to protect me, the secrets we share will only tear us apart. The Ethan Frost series is intended for mature audiences.",9781101968512,806,Fiction,English,1057.17,528.58,528.58,528.58,3.439987575067302
You're Addicted to You,Noah Blumenthal,Berrett-Koehler Publishers,2007-04-16,"The fact of the matter is, willpower alone won&#39;t get you to change. Noah Blumenthal illustrates how each of us becomes so thoroughly conditioned to act in old, counterproductive ways that negative behaviors become part of our very being.",9781609944124,170,Self-Help,English,914.5,457.25,457.25,457.25,3.0136986301369864
Adelaide,Genevieve Wheeler,Bloomsbury Publishing,2024-05-30,Named Most Anticipated by: Bustle · Popsugar · Goodreads · Zibby Magazine · SheReads · Book Riot And featured in Cosmopolitan and Marie Claire *Nominated for the 2023 Goodreads Best Debut Novel award and longlisted for the Book of the ...,9781035912728,400,Fiction,English,280.0,196.0,196.0,196.0,3.439987575067302
Adult Children of Emotionally Immature Parents,Lindsay C. Gibson,New Harbinger  Publications,2015-06-01,"In this breakthrough book, clinical psychologist Lindsay C. Gibson exposes an often overlooked, yet extremely common syndrome that shapes the lives of so many people.",9781626251724,284,Self-Help,English,1599.0,1599.0,319.0,2240.0,1.0
After the Funeral (Poirot),Agatha Christie,HarperCollins UK,2010-10-14,The master of a Victorian mansion dies suddenly – and his sister is convinced it was murder....,9780007422128,299,Fiction,English,228.55,159.98,159.98,159.98,5.0
Afterlives,Abdulrazak Gurnah,Bloomsbury Publishing,2020-09-17,"From &#39;one of Africa&#39;s greatest living writers&#39; (Giles Foden), a shatteringly powerful novel about a forgotten piece of Africa colonial history",9781526615879,289,Fiction,English,399.0,279.3,199.0,699.0,1.0
Alchemy of Secrets,Stephanie Garber,Hachette UK,2025-10-07,"Alchemy of Secrets is the spectacular new novel from global phenomenon Stephanie Garber, the multimillion-copy bestselling author of the Caraval and Once Upon a Broken Heart series.",9781399631358,301,Fiction,English,649.0,324.5,324.5,324.5,4.0
Alexander the Great,Martin Howard,Bloomsbury Publishing,2012-05-24,"Alexander the Great, one of the most courageous and heroic figures of the ancient world, played a key part in historical events which catapulted him to world fame.",9781408163702,129,Juvenile Nonfiction,English,583.0,291.5,95.0,150.0,5.0
Alibaba,Duncan Clark,HarperCollins,2016-04-12,"&quot;The story of Alibaba&#39;s rise—along with Jack Ma&#39;s—offers a fascinating window onto China&#39;s staggering transformation.&quot; — The Wall Street Journal In just a decade and half Jack Ma, a man who rose from humble beginnings and started his ...",9780062413420,227,Business & Economics,English,818.92,409.46,409.46,409.46,3.2295081967213113
It’s All About Love,Fran Wellgood,Balboa Press,2019-04-25,"... loving care of us . Yes , we can compromise , but we can&#39;t compromise or transgress our true selves . If we transgress what&#39;s true for us , we are not acting in our highest good or the highest good of all concerned . It&#39;s also all about ...",9781982225896,227,Self-Help,English,326.86,228.8,228.8,228.8,3.0136986301369864
